"Date","Open","High","Low","Close"
"06 Dec 2019","-","-","-","10238.46"
"05 Dec 2019","-","-","-","10335.43"
"04 Dec 2019","-","-","-","10317.20"
"03 Dec 2019","-","-","-","10248.76"
"02 Dec 2019","-","-","-","10295.28"
"29 Nov 2019","-","-","-","10364.40"
"28 Nov 2019","-","-","-","10344.59"
"27 Nov 2019","-","-","-","10283.05"
"26 Nov 2019","-","-","-","10224.95"
"25 Nov 2019","-","-","-","10289.79"
"22 Nov 2019","-","-","-","10218.01"
"21 Nov 2019","-","-","-","10267.88"
"20 Nov 2019","-","-","-","10348.66"
"19 Nov 2019","-","-","-","10353.41"
"18 Nov 2019","-","-","-","10327.64"
"15 Nov 2019","-","-","-","10301.18"
"14 Nov 2019","-","-","-","10253.05"
